comment_id,username,comment_text
1,john_doe,I can't stand people like you.
2,alice123,This product is amazing! Loved it.
3,bob_smith,You're a complete idiot.
4,emma88,Have a nice day everyone!
5,mike_hate,I hope you fail miserably.
6,sara_k,"Lol, you're so dumb it's funny."
7,charlie_b,That’s a fantastic idea!
8,tony_xx,You are the worst human being ever.
9,nina_sweet,"This made my day, thanks!"
10,danny_d,What the hell is wrong with you?
11,user_11,"Great job, team!"
12,user_12,Absolute garbage. Can't believe I saw this.
13,user_13,You're such a loser.
14,user_14,What a wonderful surprise!
15,user_15,Shut up already.
16,user_16,"Really helpful advice, thank you!"
17,user_17,This is the dumbest thing ever.
18,user_18,Appreciate the honesty here.
19,user_19,F*** off with your nonsense.
20,user_20,You're being overly dramatic.
21,user_21,Nicely done! Keep it up.
22,user_22,Can't believe people like this exist.
23,user_23,Awesome work as always.
24,user_24,This comment section is cancer.
25,user_25,Wishing you a great weekend!
26,user_26,You're a freaking moron.
27,user_27,Kind words go a long way.
28,user_28,Are you stupid or what?
29,user_29,Your opinion is invalid.
30,user_30,Everything about this is perfect.
31,user_31,You're acting like a clown.
32,user_32,Sending positive vibes!
33,user_33,Go jump off a bridge.
34,user_34,Insightful and constructive!
35,user_35,Nobody cares about your stupid post.
36,user_36,"I'm impressed, thanks for sharing."
37,user_37,Go cry somewhere else.
38,user_38,Haters gonna hate.
39,user_39,You suck at everything.
40,user_40,Just ignore the negativity.
41,user_41,Totally agree with you!
42,user_42,You're nothing but a troll.
43,user_43,I needed to hear this today.
44,user_44,"Get a life, loser."
45,user_45,Hope you're doing well!
46,user_46,You don't deserve happiness.
47,user_47,This is incredibly thoughtful.
48,user_48,Grow up and shut your mouth.
49,user_49,Such an inspiring post.
50,user_50,You’re a terrible excuse for a human.
